機構名稱,地址,電話,家庭醫學科,內科,外科,整形外科,兒科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,神經科,神經外科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,職業醫學科,西醫一般科,牙髓病科,牙周病科,齒顎矯正科,兒童牙科,口腔顎面外科,口腔病理科,?復補綴牙科,家庭牙醫科,牙體復形科,特殊需求者口腔醫學科,牙醫一般科,中醫一般科
三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號、中和街250號1至4樓、永興路二段2號1至2樓,(02)28959808,*,*,*,,,,,,,,,*,*,,,,,,,,,,,*,,,,,,,,,,,*,
三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路１３１號,(02)27462151,*,*,*,,*,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,,*,,,,,,,,,,,,,*,
三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,(02)87923311,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,*,,,*,*,*,*,*,*
中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號、臺北市仁愛路四 段112巷12號1-4樓,(02)27081166,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,*,
中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段７７號,(02)27510221,*,*,*,,*,*,*,*,*,*,,*,*,*,*,*,*,,,,,*,*,,,,,,,,,,,,*,
中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號、362號,(02)27919696,*,*,,,*,*,*,*,*,*,,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,*
台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路2段92號,(02)25433535,,,*,,*,*,*,,*,*,*,*,,*,*,*,*,,,,,,,,,,,*,,,,,,,,
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段９２號,(02)25433535,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,*,,,*,*,,,*,*
同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段６０６巷６號,(02)23059292,,*,*,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,*
西園醫療社團法人西園醫院,臺北市萬華區西園路二段266、268、270、272、276號、185、187、189號,(02)23329888,*,*,*,,*,*,*,*,*,*,*,*,*,*,*,*,*,,,,,*,,,,,,,,,,,,,*,
宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段71巷1號、仁 愛路四段61號、仁愛路四段91巷16號,(02)27713161,*,*,*,,*,*,*,*,*,*,,,*,*,*,*,*,,,,,,*,,,,,,,,,,,,*,
秀傳醫院,臺北市大安區光復南路116巷1、3、5號1至4樓及地下1樓,(02)27717172,*,*,,,,*,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,
協和婦女醫院,臺北市中山區松江路85巷5號1，2，3，4樓、93巷6號1，2，4樓,(02)25072222,,,,,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,
長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號、 臺北市松山區民生東路三段130巷9號2、3、B1、B2樓、臺北市松山區南京東路3段337號5、6、9、10樓。,(02)27135211,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,,*,,*,,*,,,*,*,,,*,*
振興醫療財團法人振興醫院,臺北市北投區振興街４５號,(02)28264400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,,*,,,,,,,,,,,*,*
財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街２００，２４３號,(02)23021131,*,*,*,,,*,*,,*,*,*,,*,,*,,*,,,,,,,,,,,,,,,,,,*,*
國立台灣大學醫學院附設醫院,臺北市中正區中山南路７、８號；常德街１號,(02)23123456,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,,,,*,*,*,*,*,
國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區康定路３７號、臺北市萬華區內江街87號、臺北市萬華區內江街87號、臺北市萬華區內江街89號 (文教大樓1樓及供應樓1至2樓)  ,(02)23717101,*,*,,,*,*,,,*,*,,*,*,,*,*,,,,,,,,,,,,,,,,,,,*,
國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,(02)23123456,,,*,,*,,,,,,,*,,,*,*,*,,,,,,,,,,,*,,,,,,,*,
國立臺灣大學醫學院附設醫院癌醫中心分院,臺北市大安區基隆路 3段155巷57號 ,(02)23220322,*,*,*,,,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,
國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段266巷6號，280號,(02)27082121,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,*,,,*,*,,,*,
培靈醫院,臺北市松山區八德路四段355號,(02)27606116,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,
基督復臨安息日會醫療財團法人臺安醫院,"臺北市松山區八德路二段424,426號",(02)27718151,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,*,,,*,*,,*,*,,,,,,,,,*,
康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段４２０巷２６號,(02)26345500,*,*,*,,*,*,*,*,*,,,,*,,*,*,*,,,,,*,,,,,,,,,,,,,*,
博仁綜合醫院,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,(02)25786677,*,*,*,,*,*,*,*,*,*,*,*,,,*,*,*,,,,,,*,*,,,,,,,,,,,*,
景美醫院,臺北市文山區羅斯福路六段280號、文山區育英街2巷18號、文山區羅斯福路六段276巷1號1樓、文山區萬慶街18號1樓。,(02)29331010,*,*,*,,,,*,,,,,,,,*,*,*,,,,,,,,,,,,,,,,,,,
郵政醫院（委託中英醫療社團法人經營）,臺北市中正區福州街14號,(02)23956755,,*,*,,,,*,*,,*,*,,*,,*,*,*,,,,,,,,,,,,,,,,,,,
新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號及士商路51號、51號2樓、51號3樓、51號4樓、51號5樓、51號6樓、51號7樓、53號、55號、57號、臺北市士林區基河路252號1樓,(02)28332211,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,,,,*,*,*,*,*,*
臺北市北投健康管理醫院,臺北市北投區中和街2號,(02)28988686,*,*,,*,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,
臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,(02)29307930,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,*,,,*,*,*,,*,*
臺北市立聯合醫院,臺北市大同區鄭州路145號,(02)25523234,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,*,,*,*,*
臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市北投區知行路二二五巷十二號,(02)28587000,*,*,,,,,,,,,,*,*,,*,,*,,,,,,,,,,,,,,,,,,*,*
臺北榮民總醫院,臺北市北投區石牌路二段201號、322號,(02)28712121,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,*,,,*,*,*,*,*,*
臺北醫學大學附設醫院,臺北市信義區吳興街２５2號、250號,(02)27372181,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,*,,,*,*,*,,*,*
德威國際牙醫口腔醫院,臺北市內湖區內湖路一段659號1樓,(02)27990123,,,,,,,,,,,,,,,,,,,,,,,,,*,*,,,,,*,*,,*,,
醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路１２５號,(02)28970011,,*,*,*,*,*,,*,*,*,,*,*,*,*,*,*,*,*,*,*,,,*,,,,,,,,,,,*,
